id_tempo,data,ano,mes,dia,trimestre,diaSemana,decada
11705,1984-10-02,1984,10,2,4,Tuesday,1980
11503,1984-10-04,1984,10,4,4,Thursday,1980
13125,1984-10-05,1984,10,5,4,Friday,1980
8772,1984-10-06,1984,10,6,4,Saturday,1980
13486,1984-10-07,1984,10,7,4,Sunday,1980
11779,1984-10-09,1984,10,9,4,Tuesday,1980
8766,1984-10-12,1984,10,12,4,Friday,1980
11341,1984-10-15,1984,10,15,4,Monday,1980
14347,1984-10-16,1984,10,16,4,Tuesday,1980
13471,1984-10-18,1984,10,18,4,Thursday,1980
13470,1984-10-19,1984,10,19,4,Friday,1980
11780,1984-10-21,1984,10,21,4,Sunday,1980
8773,1984-10-22,1984,10,22,4,Monday,1980
8979,1984-10-24,1984,10,24,4,Wednesday,1980
13487,1984-10-25,1984,10,25,4,Thursday,1980
8748,1984-10-29,1984,10,29,4,Monday,1980
13380,1984-10-31,1984,10,31,4,Wednesday,1980
13378,1984-11-04,1984,11,4,4,Sunday,1980
12977,1984-11-06,1984,11,6,4,Tuesday,1980
11505,1984-11-07,1984,11,7,4,Wednesday,1980
11506,1984-11-08,1984,11,8,4,Thursday,1980
11501,1984-11-09,1984,11,9,4,Friday,1980
11507,1984-11-10,1984,11,10,4,Saturday,1980
8980,1984-11-12,1984,11,12,4,Monday,1980
13200,1984-11-13,1984,11,13,4,Tuesday,1980
8978,1984-11-15,1984,11,15,4,Thursday,1980
13381,1984-11-18,1984,11,18,4,Sunday,1980
11663,1984-11-19,1984,11,19,4,Monday,1980
13525,1984-11-20,1984,11,20,4,Tuesday,1980
11364,1984-11-21,1984,11,21,4,Wednesday,1980
11365,1984-11-22,1984,11,22,4,Thursday,1980
11350,1984-11-23,1984,11,23,4,Friday,1980
8744,1984-11-24,1984,11,24,4,Saturday,1980
13351,1984-11-25,1984,11,25,4,Sunday,1980
13379,1984-11-26,1984,11,26,4,Monday,1980
13515,1984-11-27,1984,11,27,4,Tuesday,1980
11366,1984-11-28,1984,11,28,4,Wednesday,1980
13397,1984-11-29,1984,11,29,4,Thursday,1980
1095,1984-11-30,1984,11,30,4,Friday,1980
8742,1984-12-01,1984,12,1,4,Saturday,1980
13316,1984-12-03,1984,12,3,4,Monday,1980
12998,1984-12-04,1984,12,4,4,Tuesday,1980
13133,1984-12-05,1984,12,5,4,Wednesday,1980
8743,1984-12-06,1984,12,6,4,Thursday,1980
13620,1984-12-07,1984,12,7,4,Friday,1980
8741,1984-12-08,1984,12,8,4,Saturday,1980
13345,1984-12-09,1984,12,9,4,Sunday,1980
13403,1984-12-12,1984,12,12,4,Wednesday,1980
13080,1984-12-13,1984,12,13,4,Thursday,1980
